,,"synergy
","antagonism
"
(+)-JQ1,942183-80-4,3.0,0.0
(+)-JQ1,952021-60-2,0.0,1.0
(+)-JQ1,ABT-199 (GDC-0199),2.0,0.0
(+)-JQ1,ABT-263 (NAVITOCLAX),2.0,0.0
(+)-JQ1,AC1L2QK3,4.0,0.0
(+)-JQ1,AFATINIB (BIBW2992),1.0,0.0
(+)-JQ1,AK-77283,1.0,3.0
(+)-JQ1,ALISERTIB (MLN8237),1.0,0.0
(+)-JQ1,AMG-51,0.0,1.0
(+)-JQ1,AR-C155858,1.0,0.0
(+)-JQ1,AT7519,2.0,0.0
(+)-JQ1,AVN-944,0.0,1.0
(+)-JQ1,AZ 628,1.0,0.0
(+)-JQ1,AZD7762,3.0,0.0
(+)-JQ1,AZD8330,1.0,0.0
(+)-JQ1,Abemaciclib,0.0,1.0
(+)-JQ1,BARDOXOLONE METHYL,1.0,0.0
(+)-JQ1,BDBM30026,1.0,0.0
(+)-JQ1,BEZ-235,6.0,0.0
(+)-JQ1,BGJ398 (NVP-BGJ398),2.0,0.0
(+)-JQ1,BGT-226 free base,2.0,0.0
(+)-JQ1,BMS-3,0.0,1.0
(+)-JQ1,BMS-754807,10.0,0.0
(+)-JQ1,BUPARLISIB,1.0,1.0
(+)-JQ1,Bazedoxifene acetate,0.0,1.0
(+)-JQ1,CARFILZOMIB (PR-171),5.0,2.0
(+)-JQ1,CD 437,1.0,0.0
(+)-JQ1,CHEMBL129857,5.0,0.0
(+)-JQ1,CHEMBL2133870,0.0,3.0
(+)-JQ1,CHEMBL2134016,1.0,0.0
(+)-JQ1,CHEMBL2136663,1.0,0.0
(+)-JQ1,CHEMBL2138352,1.0,0.0
(+)-JQ1,CHEMBL2140838,1.0,0.0
(+)-JQ1,CHEMBL2140972,2.0,0.0
(+)-JQ1,CHEMBL2141387,1.0,0.0
(+)-JQ1,CHEMBL2144205,1.0,0.0
(+)-JQ1,CHEMBL2144820,1.0,0.0
(+)-JQ1,CHEMBL3348822,5.0,0.0
(+)-JQ1,CHEMBL3348887,2.0,0.0
(+)-JQ1,CHEMBL3348931,1.0,0.0
(+)-JQ1,CHEMBL3348985,1.0,0.0
(+)-JQ1,CHEMBL3348991,2.0,0.0
(+)-JQ1,CHEMBL3349015,1.0,0.0
(+)-JQ1,CHEMBL3923667,2.0,0.0
(+)-JQ1,CHEMBL574181,1.0,0.0
(+)-JQ1,COMBRETASTATIN A4,1.0,0.0
(+)-JQ1,CRIZOTINIB,1.0,1.0
(+)-JQ1,CUDC-101,1.0,2.0
(+)-JQ1,CYC116,1.0,0.0
(+)-JQ1,CYTIDINE,1.0,0.0
(+)-JQ1,DANUSERTIB (PHA-739358),1.0,1.0
(+)-JQ1,DASATINIB,5.0,0.0
(+)-JQ1,DCC-2036 (REBASTINIB),4.0,0.0
(+)-JQ1,DOXORUBICIN,2.0,0.0
(+)-JQ1,EFLORNITHINE HYDROCHLORIDE,1.0,0.0
(+)-JQ1,EPZ005687,0.0,2.0
(+)-JQ1,ERLOTINIB,1.0,0.0
(+)-JQ1,FCCP,1.0,0.0
(+)-JQ1,FLAVOPIRIDOL HCL,1.0,0.0
(+)-JQ1,FOSTAMATINIB (R788),1.0,0.0
(+)-JQ1,Fenobam,1.0,0.0
(+)-JQ1,Flavopiridol,3.0,0.0
(+)-JQ1,GDC-0941,2.0,0.0
(+)-JQ1,GEMCITABINE,1.0,1.0
(+)-JQ1,GSK-J4,2.0,0.0
(+)-JQ1,GSK2126458 (GSK458),3.0,0.0
(+)-JQ1,GSK690693,1.0,0.0
(+)-JQ1,Ganetespib,2.0,0.0
(+)-JQ1,HC 067047,1.0,0.0
(+)-JQ1,HYDROCORTISONE,1.0,0.0
(+)-JQ1,IBRUTINIB (PCI-32765),5.0,0.0
(+)-JQ1,IDELALISIB,1.0,0.0
(+)-JQ1,IMD 0354,2.0,0.0
(+)-JQ1,Isocycloheximide,1.0,0.0
(+)-JQ1,JZL184,1.0,0.0
(+)-JQ1,KU-0060648,3.0,0.0
(+)-JQ1,LDK378,2.0,0.0
(+)-JQ1,LENALIDOMIDE,0.0,1.0
(+)-JQ1,LY2157299,0.0,1.0
(+)-JQ1,Larotrectinib,1.0,0.0
(+)-JQ1,Leptomycin B,1.0,0.0
(+)-JQ1,Luminespib,1.0,1.0
(+)-JQ1,MARIZOMIB,1.0,0.0
(+)-JQ1,MEBENDAZOLE,1.0,1.0
(+)-JQ1,MECLINERTANT,0.0,1.0
(+)-JQ1,MERCAPTOPURINE,1.0,0.0
(+)-JQ1,MILCICLIB (PHA-848125),1.0,0.0
(+)-JQ1,MITOMYCINE,1.0,0.0
(+)-JQ1,MK-2206,6.0,0.0
(+)-JQ1,MK-4827,1.0,0.0
(+)-JQ1,ML324,0.0,1.0
(+)-JQ1,MLN2238,1.0,0.0
(+)-JQ1,NCGC00095145-01,1.0,0.0
(+)-JQ1,NCGC00162423-03,2.0,0.0
(+)-JQ1,NCGC00164600-03,0.0,1.0
(+)-JQ1,NCGC00242502-01,1.0,0.0
(+)-JQ1,NCGC00253463-01,1.0,0.0
(+)-JQ1,NCGC00263270-01,1.0,0.0
(+)-JQ1,Nintedanib,1.0,0.0
(+)-JQ1,ORLISTAT,0.0,1.0
(+)-JQ1,OSI-906 (LINSITINIB),0.0,1.0
(+)-JQ1,PAEONOL,1.0,0.0
(+)-JQ1,PALBOCICLIB,1.0,0.0
(+)-JQ1,PANOBINOSTAT,2.0,0.0
(+)-JQ1,PD325901,6.0,0.0
(+)-JQ1,PF-04929113 (SNX-5422),1.0,0.0
(+)-JQ1,PHA-690509,1.0,0.0
(+)-JQ1,PHA-793887,1.0,0.0
(+)-JQ1,PI-103,1.0,0.0
(+)-JQ1,PIK-90,1.0,0.0
(+)-JQ1,PODOPHYLLOTOXIN,1.0,0.0
(+)-JQ1,PONATINIB (AP24534),5.0,0.0
(+)-JQ1,PROCHLORPERAZINE DIMALEATE,1.0,0.0
(+)-JQ1,RomidepsinFK-228,1.0,1.0
(+)-JQ1,S63845,2.0,0.0
(+)-JQ1,SCHEMBL224883,1.0,0.0
(+)-JQ1,SCHEMBL2929203,2.0,1.0
(+)-JQ1,SCHEMBL8233739,2.0,2.0
(+)-JQ1,SCHEMBL82368,0.0,2.0
(+)-JQ1,SELUMETINIB (AZD6244),2.0,0.0
(+)-JQ1,SNS-032 (BMS-387032),3.0,0.0
(+)-JQ1,Sepantronium,1.0,0.0
(+)-JQ1,TAMOXIFEN,1.0,0.0
(+)-JQ1,TEMOZOLOMIDE,1.0,0.0
(+)-JQ1,THZ1,1.0,0.0
(+)-JQ1,TIC10,1.0,0.0
(+)-JQ1,TIC10 isomer,1.0,0.0
(+)-JQ1,TIPIFARNIB,1.0,0.0
(+)-JQ1,TORIN 1,1.0,0.0
(+)-JQ1,TORIN 2,1.0,0.0
(+)-JQ1,TRAMETINIB (GSK1120212),12.0,0.0
(+)-JQ1,TRIPTOLIDE (PG490),0.0,1.0
(+)-JQ1,UNC1215,0.0,1.0
(+)-JQ1,VOLASERTIB (BI 6727),1.0,0.0
(+)-JQ1,WYE-354,1.0,0.0
(+)-JQ1,Wortmannin from Penicillium funiculosum,1.0,0.0
(+)-JQ1,ZINC17545571,1.0,1.0
(+)-JQ1,ZOLINZA,0.0,2.0
(+)-JQ1,bafilomycin A1,1.0,0.0
(+)-JQ1,beta-Narcotine,0.0,1.0
(+)-JQ1,chelerythrine,1.0,0.0
(+)-JQ1,eeyarestatin I,1.0,0.0
(+)-JQ1,etoposide,1.0,0.0
(+)-JQ1,prazosin,0.0,1.0
(+)-JQ1,proscillaridin,0.0,1.0
(+)-JQ1,rotenone,1.0,0.0
(+)-JQ1,thapsigargin,1.0,0.0
(+)-MATRINE,RUXOLITINIB,1.0,0.0
(+)-MATRINE,TEMOZOLOMIDE,1.0,0.0
(+)-USNIACIN,TEMOZOLOMIDE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,3-AMINO-2-OXAZOLIDINONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,4-AMINOSALICYLIC ACID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,5-FU,0.0,1.0
(+\\/-)-SULFINPYRAZONE,6-HYDROXYBUSPIRONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,A77 1726,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ABACAVIR,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACAMPROSATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACARBOSE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACETAZOLAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACETOHEXAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACETOHYDROXAMIC ACID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ACITRETIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ALBENDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ALISKIREN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ALLOPURINOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ALTRETAMINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,AMANTADINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AMILORIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AMODIAQUINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AMOXAPINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AMPRENAVIR,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ANASTROZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,APREPITANT,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ARMODAFINIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ARTEMETHER,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ATENOLOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ATOVAQUONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AURANOFIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,AZACITIDINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,AZITHROMYCIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,BACLOFEN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,BORTEZOMIB,1.0,0.0
(+\\/-)-SULFINPYRAZONE,BRETYLIUM TOSYLATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,BUMETANIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,BUSPIRONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,BUSULFAN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CANRENONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CARBACHOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CARBOPLATIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CARGLUMIC ACID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CARISOPRODOL,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CEFMENOXIME,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CERIVASTATIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CEVIMELINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CHLORAMBUCIL,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CHLOROQUINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CHLORPHENESIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CHLORZOXAZONE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CILASTATIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CINACALCET,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CISAPRIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CISATRACURIUM BESYLATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CITALOPRAM,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CLOFARABINE,2.0,0.0
(+\\/-)-SULFINPYRAZONE,CLOFIBRATE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CLOFIBRIC ACID,1.0,0.0
(+\\/-)-SULFINPYRAZONE,CLOPIDOGREL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,CYTARABINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,D-CYCLOSERINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DESOXYCORTICOSTERONE PIVALATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DEXCHLORPHENIRAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DEXMEDETOMIDINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DEXTROMETHORPHAN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DIAZOXIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DICHLORPHENAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DIETHYLCARBAMAZINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DIGITOXIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DIHYDROARTEMISININ,1.0,0.0
(+\\/-)-SULFINPYRAZONE,DIHYDROERGOTAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DIPYRIDAMOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DISULFIRAM,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DOCETAXEL,1.0,0.0
(+\\/-)-SULFINPYRAZONE,DOPAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DOXAPRAM,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DOXORUBICIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,DRONEDARONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,DUTASTERIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,EFLORNITHINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ELTROMBOPAG,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ENALAPRILAT,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ENDOXIFEN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ENOXACIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ENTACAPONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ETHAMBUTOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ETHINYL ESTRADIOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,EVEROLIMUS,1.0,0.0
(+\\/-)-SULFINPYRAZONE,EZETIMIBE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,EZETIMIBE GLUCURONIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FEBUXOSTAT,1.0,0.0
(+\\/-)-SULFINPYRAZONE,FELBAMATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FENOPROFEN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,FLUMAZENIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FLUTAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FLUVOXAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FOMEPIZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FOSCARNET,0.0,1.0
(+\\/-)-SULFINPYRAZONE,FURAZOLIDONE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,GABAPENTIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,GALANTAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,GANCICLOVIR,0.0,1.0
(+\\/-)-SULFINPYRAZONE,GEFITINIB,1.0,0.0
(+\\/-)-SULFINPYRAZONE,GUANADREL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,GUANFACINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,HALOFANTRINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,HYDRALAZINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,HYDROXYCHLOROQUINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,HYDROXYFLUTAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,HYDROXYMETRONIDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,HYDROXYUREA,1.0,0.0
(+\\/-)-SULFINPYRAZONE,IBUTILIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,IMATINIB,0.0,1.0
(+\\/-)-SULFINPYRAZONE,IMIPRAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,IRINOTECAN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ISONIAZID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ISOPROTERENOL,1.0,0.0
(+\\/-)-SULFINPYRAZONE,ITRACONAZOLE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,IVERMECTIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LANSOPRAZOLE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,LEFLUNOMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LEVAMISOLE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,LEVETIRACETAM,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LIOTHYRONINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LOPERAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LUBIPROSTONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,LUMEFANTRINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MAPROTILINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MEBENDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MEBUTAMATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MECAMYLAMINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MECLOFENAMIC ACID,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MEFLOQUINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MEMANTINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MEPHENYTOIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,METHYCLOTHIAZIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,METHYLDOPA,0.0,1.0
(+\\/-)-SULFINPYRAZONE,METHYLERGONOVINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,METRONIDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,METYROSINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MIGLITOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MIGLUSTAT,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MILRINONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MINOXIDIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MINOXIDIL SULFATE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MITOTANE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,MITOXANTRONE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,MYCOPHENOLIC ACID,1.0,0.0
(+\\/-)-SULFINPYRAZONE,NABILONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NICLOSAMIDE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,NISOLDIPINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NITAZOXANIDE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,NITISINONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NITROSOGLUTATHIONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NIZATIDINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NORCISAPRIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,NOVOBIOCIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,OLMESARTAN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,OLMESARTAN MEDOXOMIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ORLISTAT,1.0,0.0
(+\\/-)-SULFINPYRAZONE,OSELTAMIVIR,0.0,1.0
(+\\/-)-SULFINPYRAZONE,OSELTAMIVIR ACID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,OXYPHENBUTAZONE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,OXYPHENONIUM BROMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PALONOSETRON,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PAMIDRONIC ACID,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PAZOPANIB,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PENTAMIDINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PENTOLINIUM TARTRATE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,PENTOSTATIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PHENPROCOUMON,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PHENSUXIMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PINACIDIL,1.0,0.0
(+\\/-)-SULFINPYRAZONE,PRAMIPEXOLE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,PRAZIQUANTEL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PREDNISOLONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PROBUCOL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PROCARBAZINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PROPYLTHIOURACIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PYRAZINAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PYRIDOSTIGMINE BROMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,PYRVINIUM CHLORIDE DIHYDRATE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,QUININE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,RALTEGRAVIR,0.0,1.0
(+\\/-)-SULFINPYRAZONE,RAMELTEON,1.0,0.0
(+\\/-)-SULFINPYRAZONE,RANOLAZINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,RIBAVIRIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,RIBAVIRIN 5\'-TRIPHOSPHATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,RIFABUTIN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,RILUZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,ROSIGLITAZONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,RUFINAMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SAXAGLIPTIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SERTRALINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SILDENAFIL,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SITAGLIPTIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SN-38,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SODIUM DIETHYLDITHIOCARBAMATE TRIHYDRATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SPIRONOLACTONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SULFAMETER,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SUMATRIPTAN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,SUNITINIB,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TACRINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TACROLIMUS,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TAMOXIFEN,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TEMOZOLOMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TERAZOSIN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TESTOLACTONE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TESTOSTERONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,THALIDOMIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,THEOPHYLLINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,THIABENDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,THIOTEPA,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TIAGABINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TINIDAZOLE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TIZOXANIDE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TOLAZOLINE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TOLVAPTAN,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TOPIRAMATE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TRANEXAMIC ACID,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TRANYLCYPROMINE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TRAZODONE,0.0,1.0
(+\\/-)-SULFINPYRAZONE,TRIAMTERENE,1.0,0.0
(+\\/-)-SULFINPYRAZONE,TRIFLUOPERAZINE,0.0,1.0
